,baseDate,baseTime,T1H,RN1,REH,PTY,WSD
0,20220101,0000,-6.0,0.0,41.0,0.0,1.9
1,20220101,0100,-3.9,0.0,35.0,0.0,0.8
2,20220101,0200,-1.8,0.0,34.0,0.0,0.9
3,20220101,0300,0.4,0.0,32.0,0.0,1.0
4,20220101,0400,1.5,0.0,33.0,0.0,1.9
5,20220101,0500,1.9,0.0,35.0,0.0,1.8
6,20220101,0600,1.5,0.0,35.0,0.0,2.5
7,20220101,0700,0.0,0.0,39.0,0.0,1.2
8,20220101,0800,-1.0,0.0,44.0,0.0,0.9
9,20220101,0900,-1.1,0.0,46.0,0.0,1.4
10,20220101,1000,-1.9,0.0,47.0,0.0,2.1
11,20220101,1100,-2.4,0.0,49.0,0.0,1.6
12,20220101,1200,-2.4,0.0,51.0,0.0,1.1
13,20220101,1300,-2.5,0.0,54.0,0.0,1.2
14,20220101,1400,-2.7,0.0,55.0,0.0,1.9
15,20220101,1500,-3.0,0.0,56.0,0.0,2.0
16,20220101,1600,-2.3,0.0,57.0,0.0,1.9
17,20220101,1700,-1.9,0.0,56.0,0.0,2.4
18,20220101,1800,-1.8,0.0,55.0,0.0,2.0
19,20220101,1900,-1.7,0.0,56.0,0.0,2.3
20,20220101,2000,-1.9,0.1,71.0,3.0,1.0
21,20220101,2100,-2.1,0.2,82.0,0.0,1.5
22,20220101,2200,-2.1,0.0,83.0,0.0,2.4
23,20220101,2300,-1.6,0.0,81.0,0.0,0.4
24,20220102,0000,-0.1,0.0,80.0,0.0,2.2
25,20220102,0100,0.2,0.0,79.0,0.0,3.1
26,20220102,0200,1.7,0.0,71.0,0.0,2.5
27,20220102,0300,1.9,0.0,66.0,0.0,3.1
28,20220102,0400,2.4,0.0,48.0,0.0,3.3
29,20220102,0500,2.6,0.0,45.0,0.0,3.2
30,20220102,0600,2.5,0.0,46.0,0.0,2.7
31,20220102,0700,0.6,0.0,46.0,0.0,3.4
32,20220102,0800,-0.7,0.0,40.0,0.0,2.8
33,20220102,0900,-1.8,0.0,41.0,0.0,2.0
34,20220102,1000,-2.8,0.0,47.0,0.0,1.9
35,20220102,1100,-3.1,0.0,47.0,0.0,0.9
36,20220102,1200,-3.9,0.0,48.0,0.0,1.8
37,20220102,1300,-4.3,0.0,49.0,0.0,2.7
38,20220102,1400,-5.3,0.0,52.0,0.0,1.8
39,20220102,1500,-6.0,0.0,53.0,0.0,1.6
40,20220102,1600,-6.3,0.0,58.0,0.0,1.2
41,20220102,1700,-7.0,0.0,61.0,0.0,1.6
42,20220102,1800,-7.1,0.0,58.0,0.0,1.2
43,20220102,1900,-7.3,0.0,59.0,0.0,1.4
44,20220102,2000,-7.7,0.0,54.0,0.0,1.7
45,20220102,2100,-7.9,0.0,55.0,0.0,2.7
46,20220102,2200,-7.5,0.0,57.0,0.0,1.9
47,20220102,2300,-6.3,0.0,54.0,0.0,1.3
48,20220103,0000,-3.0,0.0,49.0,0.0,1.7
49,20220103,0100,-0.4,0.0,41.0,0.0,1.2
50,20220103,0200,1.3,0.0,35.0,0.0,1.6
51,20220103,0300,1.5,0.0,42.0,0.0,3.4
52,20220103,0400,1.8,0.0,46.0,0.0,2.1
53,20220103,0500,2.0,0.0,48.0,0.0,2.1
54,20220103,0600,2.1,0.0,50.0,0.0,1.9
55,20220103,0700,1.4,0.0,57.0,0.0,1.6
56,20220103,0800,1.3,0.0,60.0,0.0,2.0
57,20220103,0900,1.3,0.0,66.0,0.0,1.9
58,20220103,1000,1.2,0.0,70.0,0.0,2.0
59,20220103,1100,1.1,0.0,75.0,0.0,1.9
60,20220103,1200,0.8,0.0,76.0,0.0,2.3
61,20220103,1300,0.6,0.0,78.0,0.0,1.7
62,20220103,1400,0.7,0.0,81.0,0.0,1.2
63,20220103,1500,0.6,0.0,79.0,0.0,2.4
64,20220103,1600,-0.7,0.0,76.0,0.0,1.9
65,20220103,1700,-1.7,0.0,78.0,0.0,2.1
66,20220103,1800,-2.4,0.0,75.0,0.0,2.3
67,20220103,1900,-2.9,0.0,74.0,0.0,2.3
68,20220103,2000,-3.6,0.0,74.0,0.0,2.3
69,20220103,2100,-3.9,0.0,74.0,0.0,2.8
70,20220103,2200,-4.5,0.0,75.0,0.0,2.9
71,20220103,2300,-4.0,0.0,72.0,0.0,2.9
72,20220104,0000,-3.0,0.0,63.0,0.0,2.8
73,20220104,0100,-1.4,0.0,51.0,0.0,3.0
74,20220104,0200,-0.3,0.0,49.0,0.0,2.7
75,20220104,0300,0.1,0.0,42.0,0.0,2.6
76,20220104,0400,0.8,0.0,35.0,0.0,3.1
77,20220104,0500,0.9,0.0,31.0,0.0,3.8
78,20220104,0600,0.7,0.0,29.0,0.0,2.7
79,20220104,0700,-0.7,0.0,30.0,0.0,2.8
80,20220104,0800,-1.7,0.0,31.0,0.0,2.5
81,20220104,0900,-2.2,0.0,33.0,0.0,2.9
82,20220104,1000,-2.7,0.0,35.0,0.0,2.1
83,20220104,1100,-3.7,0.0,38.0,0.0,1.9
84,20220104,1200,-4.7,0.0,42.0,0.0,0.8
85,20220104,1300,-5.1,0.0,43.0,0.0,1.2
86,20220104,1400,-5.6,0.0,47.0,0.0,0.8
87,20220104,1500,-6.1,0.0,48.0,0.0,1.9
88,20220104,1600,-6.6,0.0,49.0,0.0,2.2
89,20220104,1700,-6.9,0.0,53.0,0.0,2.0
90,20220104,1800,-7.2,0.0,52.0,0.0,0.8
91,20220104,1900,-7.4,0.0,55.0,0.0,1.5
92,20220104,2000,-7.6,0.0,56.0,0.0,2.2
93,20220104,2100,-7.6,0.0,56.0,0.0,1.3
94,20220104,2200,-7.3,0.0,58.0,0.0,2.2
95,20220104,2300,-5.8,0.0,55.0,0.0,1.1
96,20220105,0000,-3.6,0.0,49.0,0.0,1.6
97,20220105,0100,-1.7,0.0,45.0,0.0,0.8
98,20220105,0200,-0.1,0.0,39.0,0.0,1.6
99,20220105,0300,0.5,0.0,36.0,0.0,2.8
100,20220105,0400,1.3,0.0,35.0,0.0,2.0
101,20220105,0500,1.8,0.0,36.0,0.0,1.0
102,20220105,0600,1.7,0.0,36.0,0.0,1.3
103,20220105,0700,1.2,0.0,40.0,0.0,2.2
104,20220105,0800,0.8,0.0,42.0,0.0,1.7
105,20220105,0900,0.0,0.0,43.0,0.0,1.4
106,20220105,1000,-0.7,0.0,45.0,0.0,1.2
107,20220105,1100,-0.8,0.0,47.0,0.0,1.7
108,20220105,1200,-1.4,0.0,47.0,0.0,2.7
109,20220105,1300,-1.9,0.0,49.0,0.0,1.8
